Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
0	1.6	5.4	7	2.6	1.5	0.9	2.2	2.1	16.4	75	40.60150376	34.375	4	9	1
0	2.5	4.8	7.3	1.5	0.4	0.2	2.2	2.4	15.9	74.50980392	43.84615385	26.92307692	2	9	1
0	1.5	3.6	5.1	1.7	0.5	0.4	2.4	2.1	14	70.83333333	46.15384615	43.47826087	4	9	1
0	1.2	3.6	4.8	3	0.6	0.2	2.4	1.8	14.4	78.37837838	47.16981132	36.58536585	3	1	1
0	2.4	5.6	8	1.5	0.6	0.5	2.9	3.2	14.8	64.1509434	54.36893204	40	4	9	1
0	1.5	5.6	7.1	1.8	0.8	1.7	2.6	2.6	14.7	77.77777778	51.92307692	38.70967742	2	9	1
0	1.4	4.6	6	2.6	0.8	0.6	1.5	1.7	15.2	72.22222222	44	33.33333333	3	7	1
0	1.1	4.8	5.9	2.3	1.2	0.1	1.5	2.5	16.2	71.79487179	47.78761062	42.37288136	4	9	1
0	2	4.6	6.6	3	1.1	0.8	2.4	3.8	14.2	65.38461538	55.43478261	35	3	9	1
106	2.5	2.9	5.4	0.8	0.9	1.6	2	4.1	13.8	68.42105263	53.53535354	33.33333333	1	2	2
0	1.6	4.9	6.5	1.7	1.2	0.2	2	2.8	15.6	73.68421053	41.96428571	34.54545455	4	2	1
0	3.5	5.9	9.5	1.4	0.7	0.2	2.3	2.5	13.3	70.3125	46.80851064	0	3	5	1
0	1.4	4.4	5.8	2	1.1	0.8	2.7	2.2	13.3	69.56521739	51.64835165	33.33333333	3	4	1
0	2.2	5.5	7.7	1.3	1	1	1.9	2.7	14.5	74.50980392	44.55445545	41.02564103	4	3	1
0	3.5	7	10.5	0.8	1.4	0.7	2	3	14.9	59.01639344	59.57446809	0	2	9	1
0	2.3	6.5	8.8	0.8	0.5	0	1.6	1.5	14	62.5	60	0	4	9	1
0	2.9	4.9	7.8	0.9	0.9	1.1	1.8	2.8	15.4	76.19047619	61.61616162	0	4	3	1
0	4.1	8.9	13	0.9	0.9	1.2	1.8	3.4	13.5	43.1372549	65.11627907	0	2	9	1
0	2.3	6	8.3	1.6	0.8	0.1	2.8	2.6	13.9	73.01587302	44	27.77777778	3	9	1
0	2	4.6	6.6	4.7	1.5	0.4	2.3	2.5	13.8	67.27272727	46.2962963	0	4	6	1
0	4.2	5.5	9.7	1.4	0.7	1.8	2	3.2	14.6	58.13953488	64.51612903	0	4	9	1
0	2.2	4.5	6.7	1.3	1.1	0.3	2.6	2.8	15.1	76.47058824	45.2173913	25	2	9	1
0	3.1	7.1	10.2	2.4	0.7	1.6	2.8	3	15.6	57.89473684	54.36893204	0	4	1	2
0	2.1	3.8	5.9	1.4	0.9	0.6	1.6	2.3	13.3	78.37837838	48.91304348	34.21052632	4	9	1
0	1.5	3.4	4.9	1.1	0.6	1.1	2	2.3	14.5	80.64516129	61.05263158	55.55555556	1	9	1
0	1.8	3.8	5.7	1.6	0.9	0.6	1.6	2.4	14	75.43859649	48.03921569	0	4	8	1
0	1.6	9.5	11.1	1.5	0.7	1.1	2	2.1	15.4	77.5	54.62962963	38.46153846	3	2	1
0	1.9	4.7	6.7	1.3	0.8	1.1	1.6	2.9	13.9	65.11627907	54	26.66666667	2	9	1
0	1.3	5.7	7.1	2.5	1.4	0.4	2.9	2.8	13.1	74.28571429	45.91836735	39.02439024	3	9	1
0	2.2	6.4	8.6	0.8	0.9	0.5	1.5	2.9	13.1	73.80952381	52.12765957	33.33333333	2	9	1
0	1	3.9	4.9	1.7	1	0.4	1.9	2.9	14.8	80.95238095	43.96551724	32.43243243	3	9	1
0	0.9	3.1	4	2	0.7	0.1	1.3	2.3	14.2	78.57142857	43.51851852	41.93548387	4	9	1
0	3.1	3.3	6.4	0.4	0.5	0.6	2.1	3.7	14.2	60.34482759	51.42857143	0	3	9	1
0	3.7	3.8	7.5	2.8	0.8	1.7	2.5	2.8	15.7	67.24137931	52.25225225	33.33333333	4	9	1
0	2.4	5.8	8.2	1.2	0.6	0.7	2	3.5	14.1	78.125	52.43902439	27.77777778	4	9	1
0	1.9	4.4	6.2	1.7	1.3	0.1	1.6	1.7	15	71.11111111	52	44.82758621	3	9	1
0	2.3	4.2	6.5	1.4	0.9	0.7	1	2.8	13.1	73.52941176	56.98924731	0	2	9	1
0	3.1	5.9	9	1.1	0.3	0.6	1.5	2.9	14.8	73.21428571	44.16666667	0	4	9	1
0	1.3	2.8	4.1	2.5	1.1	0.5	2.2	2.8	13	72.5	38.9380531	31.70731707	2	9	1
0	0.5	3.1	3.5	0.9	0.6	0.5	0.8	2	13	76.47058824	43.29896907	42.66666667	3	9	1
0	1.6	4.6	6.2	2.2	1.1	0.3	2	2.8	13.8	64.28571429	48.21428571	37.93103448	3	7	1
0	2.1	4.1	6.2	1	0.8	0.3	2.5	3.1	13.7	71.42857143	53.92156863	36.84210526	4	6	1
0	2	5.1	7.1	1.2	0.6	0.4	2.3	2.6	14.1	71.11111111	42.34234234	33.33333333	3	9	1
0	0.4	4.1	4.5	1.3	0.5	0.2	1.5	1.8	13.1	81.25	46	47.27272727	3	9	1
0	2.8	4.9	7.7	1.3	0.7	0.5	2.5	3.3	13.9	64.61538462	45.19230769	25	4	3	1
0	2.7	3.4	6.1	1.4	0.8	0.4	1.5	3.6	13.5	69.76744186	63.85542169	0	4	9	1
0	1.6	4	5.5	2.7	0.9	0.6	1.8	2.7	13.9	72.4137931	46.49122807	35.29411765	4	9	1
0	2	4.8	6.8	2.1	1.1	0.4	2.6	2.5	14.8	67.39130435	51.75438596	0	4	9	1
0	2.4	4	6.4	0.6	0.7	0.9	1.8	3.8	16.6	72.5	55.73770492	0	3	9	1
0	1.9	5.5	7.4	3.4	1.3	0.2	3.8	3.1	14.2	50	58.65384615	0	2	9	1
0	2.3	4.6	6.9	0.9	0.6	1.2	1.1	2.5	13.2	62.5	48.11320755	32.14285714	1	9	1
0	1.5	2.6	4.2	1.9	0.7	0.3	1.4	2.3	13.5	72.22222222	41.58415842	34.21052632	4	9	1
0	2.5	5.3	7.8	1.5	0.6	0.9	2.4	3.3	14	71.18644068	46.46464646	27.27272727	4	9	1
0	1.4	5.6	7	4.3	2.3	0.7	3.5	3	14.4	65.33333333	42.05607477	20	4	9	1
0	1.6	3.4	4.9	1.3	0.4	0.5	1.8	2.8	13.4	76.74418605	49.5049505	0	2	9	1
0	3.7	7.2	11	1.7	0.7	0.1	1.7	2.4	13.3	58.33333333	48.54368932	33.33333333	4	9	1
0	2.7	5	7.7	1.4	0.8	0.5	1.8	2.3	13.7	72.72727273	50	0	4	9	1
0	2.6	7	9.6	1.2	0.3	2.7	2.3	2.6	14	69.6969697	47.32142857	42.30769231	4	9	1
0	2.2	4.4	6.6	1	0.8	0	1.7	2.3	15	65.38461538	50.44247788	16.66666667	4	9	1
0	1.6	5.2	6.9	1	0.7	0.4	2.7	3.3	13.1	76.08695652	42.15686275	35.71428571	4	9	1
0	4.9	6.2	11	0.6	0.7	2.2	1.1	2.7	13.3	52.94117647	66.25	0	1	9	1
0	1.5	3.9	5.4	1.1	1.2	0.5	1.4	2.7	13.1	74.07407407	43.95604396	36.66666667	1	2	1
0	2.1	5.1	7.2	1.2	1	1.1	2.5	3.3	13.3	78.72340426	50	0	4	9	1
0	2.2	5.3	7.5	2.1	0.7	1.5	3.2	2.9	15.6	69.84126984	48.21428571	25	4	9	1
0	1.7	5.3	7	0.9	0.8	1.3	1.8	2.4	13	73.33333333	47.47474747	38.23529412	4	9	1
0	2.7	4.7	7.4	0.4	0.8	2.9	1.1	2.7	12.1	69.23076923	53.84615385	33.33333333	3	2	1
0	2.1	3.1	5.2	1.4	0.8	2.1	1.5	3	12.4	70	52.22222222	36	4	9	1
0	2.5	4.9	7.4	1	0.9	2.4	2.5	3.2	13	69.44444444	48.97959184	33.33333333	4	9	1
0	1.8	4.5	6.3	1.3	0.6	2	1.8	3.1	11.5	61.29032258	54.54545455	0	4	9	1
0	2.1	2.9	5	1	0.7	2.3	1.2	2.7	11.1	69.56521739	52	33.33333333	3	9	1
0	1.7	4.5	6.2	1.5	0.7	2.8	1.6	1.6	10.5	65	50	35.71428571	2	9	1
0	1.8	4	5.8	1.3	0.6	2.6	2.1	3.2	10.5	55.81395349	63.07692308	0	4	9	1
0	3.7	6	9.7	0.4	0.7	2	1.3	2.7	10.4	48.8372093	55.26315789	0	2	9	1
0	2.1	3.5	5.6	0.9	0.7	2.5	1.8	3	12	61.53846154	57.14285714	0	3	9	1
0	1.7	3.5	5.2	2.1	0.6	2.5	2.2	3.2	8.8	60	53.22580645	30.76923077	3	9	1
0	2.4	4.2	6.6	0.9	0.4	2.1	1.2	3.1	7.5	71.42857143	56	0	2	9	1
0	1.8	5.5	7.3	1.5	0.5	3	1.1	2.4	8.9	72	40.25974026	27.27272727	3	3	1
0	2.9	4.7	7.6	1.3	0.4	2	1.1	2.3	7.2	70.58823529	42.85714286	50	3	2	1
0	2.4	3.2	5.6	0.1	0.4	2.5	0.8	3.1	6.9	75	62.79069767	0	3	2	2
0	2.8	4.1	6.9	0.6	0.3	3	1.2	3	7.2	26.66666667	58.62068966	0	3	9	1
0	2.1	3.2	5.3	0.6	0.9	2.1	0.8	3	5.6	53.33333333	55.81395349	0	2	5	1
