Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
0	1.9	5.5	7.4	0.5	0.4	1.4	1.7	2.9	10	70	60	100	4	9	1
0	3.3	5.4	8.7	1.8	0.9	0.6	1.8	2.9	9.9	53.57142857	53.22580645	33.33333333	4	9	1
0	2.7	6.5	9.2	1.8	0.7	1.8	1.8	2.8	8.6	66.66666667	44.87179487	0	3	9	1
0	2.5	3.6	6.1	0.6	0.5	0.9	1.4	2.2	8.8	50	50	0	4	1	2
0	2.9	4.5	7.3	0.4	0.4	0.7	1.5	2.1	8.3	69.56521739	53.06122449	0	4	9	1
0	2.7	4.9	7.6	1	0.3	0.6	2.4	2.5	10.4	62	51.42857143	0	4	9	1
0	3.4	3.5	7	0.1	0.3	1.5	0.8	2.1	5	52.94117647	53.84615385	0	4	9	1
0	2.3	4.5	6.8	0.7	0.5	0.1	1.3	2.3	5.7	66.66666667	50	0	3	9	1
0	2.2	5.3	7.5	1.2	0.9	2.5	2.6	2.6	21.6	74.15730337	49.30555556	33.33333333	4	9	1
0	2.7	6.6	9.3	0.8	1	3	2.1	3.1	20.1	69.56521739	59.68992248	0	4	9	1
0	3.8	7.8	11.6	0.8	0.5	0.2	2.5	3.2	17.2	74.28571429	54.05405405	0	4	9	1
92	1.5	5.7	7.3	1.3	0.5	0.9	2	2.6	16.4	77.77777778	50	41.17647059	4	4	2
0	2.4	6.5	8.9	1.1	0.8	1.5	1.9	2.4	16.1	77.55102041	53.04347826	18.18181818	4	9	1
0	1.9	5.3	7.2	1.1	0.4	0.7	1.6	2.4	14.4	82.5	56.84210526	33.33333333	4	9	1
0	2.5	4.1	6.5	0.9	0.5	3	1.5	3	15.6	66.07142857	55.04587156	0	4	9	1
22	2.1	3.6	5.7	1	0.5	3.1	2.2	2.2	15.3	72.5	47.4137931	42.42424242	4	9	1
