Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
0	0.8	4.4	5.2	2.5	0.8	0.5	1.9	2.3	17.8	70.49180328	49.59349593	36.84210526	3	9	1
0	0.6	2.6	3.2	3.4	1.6	0.1	2.2	2.6	17.8	81.03448276	43.18181818	37.20930233	1	9	1
0	2	4.9	6.9	0.7	1.4	0.3	1.7	2.5	18.9	63.63636364	43.67088608	30.18867925	4	9	1
64	1.4	4.6	6	4.4	1.8	0.3	3.2	2.6	16.1	65.30612245	41.25874126	28.57142857	1	2	2
112	1.1	4.2	5.3	6.2	2.5	0.6	3.5	2.8	16.4	68.96551724	44.8	38.23529412	3	6	1
0	0.3	3.3	3.5	7.9	0.8	0	3.9	3.1	15.5	77.04918033	46.22641509	40.90909091	2	9	1
0	0.3	4	4.3	2.1	0.6	0.1	1.8	2.6	16.4	76.92307692	42.27642276	41.42857143	4	7	1
0	0.3	1.9	2.3	1.9	0.4	0	1.2	1.6	15	80.95238095	40.47619048	41.09589041	4	1	2
0	1.9	3.3	5.2	1.4	0.9	0.2	2	2.3	15.9	78.43137255	42.01680672	35.29411765	4	9	1
0	1	3.3	4.2	3.3	1	0.1	2.4	2.2	16.8	80.76923077	47.05882353	38	3	2	3
0	0.8	2.9	3.7	5	1.3	0.3	2.7	2.7	17.9	87.93103448	44.64285714	43.75	2	9	1
0	1.4	2.9	4.2	1.5	1.4	0.8	1.9	2.6	14.1	67.85714286	50.47619048	41.66666667	4	9	1
0	1.3	5.5	6.8	3.2	1.7	0.4	4.1	2.9	17.9	78.87323944	48.67256637	37.14285714	4	9	1
0	1.4	4.4	5.8	1.5	1	0	2.2	2.1	15.8	71.11111111	44.61538462	26.47058824	1	1	1
0	1	3.4	4.4	1.9	0.7	0.3	1.8	2.8	17.3	68.42105263	45.73643411	41.17647059	3	9	1
0	0.7	2.7	3.4	3.1	1	0.1	2	2.6	14.9	77.77777778	43.58974359	35.8490566	3	9	1
0	1.5	5.5	7	1.3	0.9	0.2	1.4	2.2	16.8	86.84210526	41.98473282	34.24657534	2	9	1
0	0.4	3.7	4.1	3.6	1	0.4	1.5	2	17.3	75	44.26229508	36.50793651	4	9	1
0	0.5	2	2.5	1.5	0.7	0.1	1.5	1.7	16.2	83.33333333	43.47826087	41.93548387	4	6	1
0	0.3	3.3	3.6	4.9	1.3	0.2	2.7	1.9	14.8	86.2745098	40.74074074	31.37254902	2	4	1
0	1.3	4.5	5.8	1.6	1.4	0.7	1.3	2.1	16.2	81.39534884	51.40186916	35.41666667	3	9	1
0	0.7	3	3.6	4.5	1.5	0.3	2.1	2.4	16.2	81.39534884	41.26984127	32.8358209	4	6	1
0	0.5	2.5	3	4.2	0.4	0.1	2.9	2.1	17.7	80.95238095	39.21568627	38.98305085	2	9	1
84	1.3	4	5.3	1.5	0.9	0.2	1.7	2.2	15.6	81.57894737	46.55172414	38.0952381	1	1	1
0	0.6	1.8	2.4	0.9	0.6	0	1.3	2.1	16.5	86.11111111	45.37815126	43.10344828	3	3	1
0	0.5	2.6	3.1	2.9	1.3	0	1.6	1.3	16	88.23529412	42.85714286	34.48275862	2	9	1
0	0.5	3.3	3.8	1.8	1.4	0.2	2.2	2.1	16	83.33333333	39.0625	39.77272727	4	9	1
0	0.8	3.2	3.9	3.2	1.3	0.4	2.4	2.5	16.4	72.97297297	44	36.98630137	4	9	1
0	1.3	4.8	6	2.6	1.2	0.4	2.2	2	15.9	77.5862069	40.6504065	35.71428571	4	8	1
0	0.7	3	3.7	1.7	0.9	0	1.9	1.8	16.4	83.33333333	41.91176471	37.87878788	3	9	1
0	0.9	2.8	3.6	2.7	1.2	0.1	1.9	1.9	15.9	82.92682927	40.625	36.06557377	3	9	1
0	0.8	2.7	3.4	2.6	0.7	0.3	1.9	2	13.8	61.29032258	47.61904762	38	3	5	3
0	1.2	5.2	6.4	2	1.2	0.5	1.6	2.9	15.4	78.78787879	44.95412844	43.28358209	4	9	1
0	1.8	6.2	8	1.7	1.4	0.9	2.9	2.5	18	85.10638298	43.26241135	29.31034483	3	9	1
0	0.8	2.2	3.1	5.1	1.1	0.1	2.7	3.1	16.8	73.80952381	41.95804196	35.41666667	4	9	1
0	0.3	2.6	2.9	3.9	1.3	0.1	1.8	1.7	13.7	84.61538462	43.51851852	36.06557377	3	9	1
0	0.5	3	3.5	1.5	0.2	0.2	1.2	1.4	16.8	77.14285714	42.30769231	37.34939759	2	9	1
0	0.4	3.2	3.6	2.5	0.6	0	2.4	2	16.8	81.3559322	46.55172414	40.625	2	9	1
0	0.7	3.9	4.6	1.9	1.1	0.5	1.7	2.8	13.7	86.11111111	36.8	29.78723404	3	7	1
