Player,Class,Season,Pos,School,Conf,G,MP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
Will Pratt\will-pratt-1,SR,2010-11,F,Northwestern State,Southland,32,25,1.6,2.8,4.4,1.2,1.3,0.3,3.4,3.5,17.8,66.66666667,50.42016807,33.33333333
Austin Freeman\austin-freeman-1,SR,2010-11,G,Georgetown,Big East,32,33.8,0.7,3,3.7,2.4,0.7,0.2,1.7,1.8,17.6,85.29411765,47.76119403,35.18518519
TyShwan Edmondson\tyshwan-edmondson-1,JR,2010-11,G,Austin Peay,OVC,33,32,1.6,2.8,4.5,2,1.8,0.5,2,2.4,17.1,75,41.89189189,37.28813559
Jamarco Warren\jamarco-warren-1,SR,2010-11,G,Charleston Southern,Big South,32,33.4,0.5,2.5,3,2.8,1.4,0.1,3.1,2.2,17.6,86.36363636,43.75,36.76470588
Landon Clement\landon-clement-1,JR,2010-11,G,North Carolina Central,Ind,30,36,0.5,3.2,3.7,1.1,1.1,0,1.4,1.4,18.7,80.55555556,43.26241135,40.4494382
Anthony Gurley\anthony-gurley-1,SR,2010-11,G,Massachusetts,A-10,30,30.7,0.8,3.6,4.4,1.4,1,0.1,2.8,1.9,18.7,73.07692308,41.55844156,35.0877193
Kawhi Leonard\kawhi-leonard-1,SO,2010-11,F,San Diego State,MWC,36,32.6,3.1,7.5,10.6,2.5,1.4,0.6,2.1,2.5,15.5,77.5,44.6969697,29.16666667
Mickey McConnell\mickey-mcconnell-1,SR,2010-11,G,Saint Mary's (CA),WCC,34,36.9,0.5,2.1,2.5,6.1,1.2,0.2,2.3,1.8,16.4,88.0952381,50.48543689,46
Jordan Williams\jordan-williams-1,SO,2010-11,F,Maryland,ACC,33,32.5,3.7,8.1,11.8,0.6,0.7,1.4,1.6,2.4,16.9,57.97101449,54.16666667,0
Carl Montgomery\carl-montgomery-1,SR,2010-11,F,Chicago State,GWC,32,27.5,3.1,5,8.1,1.1,0.6,1,2.4,3.2,17.3,61.76470588,52.41935484,25
Diante Garrett\diante-garrett-1,SR,2010-11,G,Iowa State,Big 12,32,36.7,0.4,3.3,3.7,6.1,1.7,0.2,3.3,1.7,17.3,84,41.35802469,31.03448276
Michael Thompson\michael-thompson-2,SR,2010-11,G,Northwestern,Big Ten,34,37.3,0.4,1.8,2.2,4.3,1.4,0.1,1.9,2.2,16.3,82.75862069,45.52845528,39.43661972
Cameron Wells\cameron-wells-1,SR,2010-11,G,Citadel,Southern,32,35.8,0.6,4.5,5.1,4.3,1.4,0.3,2.4,2,17.3,81.13207547,43.97163121,25
Brandon Wood\brandon-wood-1,JR,2010-11,G,Valparaiso,Horizon,33,31.9,1,3.3,4.3,3.1,1.7,0.2,2.2,1.5,16.7,65.71428571,46.66666667,35.29411765
Jamarr Sanders\jamarr-sanders-1,SR,2010-11,G,Alabama-Birmingham,CUSA,31,34.8,0.9,3.6,4.6,1.9,0.9,0.3,2.9,1.9,17.8,81.48148148,42.95302013,38.66666667
C.J. Wilkerson\cj-wilkerson-1,SR,2010-11,G,North Carolina Central,Ind,29,37.1,0.6,2.8,3.4,1.8,1,0.1,3.2,2.5,19,73.56321839,46.21848739,38.46153846
Andy Ogide\andy-ogide-1,SR,2010-11,F,Colorado State,MWC,32,29.5,2.4,5.3,7.7,0.7,0.8,0.6,2.3,2.8,17.2,64.1509434,58.77192982,37.5
Chad Tomko\chad-tomko-1,SR,2010-11,G,North Carolina-Wilmington,CAA,31,36.5,0.6,5.3,5.9,4.3,1.9,0.3,3.2,1.9,17.6,80,41.21621622,37.14285714
LaceDarius Dunn\lacedarius-dunn-1,SR,2010-11,G,Baylor,Big 12,28,35.3,0.8,2.9,3.6,2.1,1.4,0,3.6,2.4,19.5,84.31372549,39.47368421,35.95505618
Darren Moore\darren-moore-1,SR,2010-11,G,UC-Irvine,Big West,32,30.6,1.6,4.3,5.9,1.7,1.8,0.2,2.5,3.2,17,72.85714286,50.47619048,35.13513514
Scotty Hopson\scotty-hopson-1,JR,2010-11,G,Tennessee,SEC,32,29.3,0.9,2.5,3.3,1.3,0.8,0.2,2.8,2,17,75,45.38461538,38.63636364
Jovonni Shuler\jovonni-shuler-1,SR,2010-11,G-F,Savannah State,Ind,30,34.7,1.3,3.9,5.2,2,1.3,0.4,2.7,2.5,18.1,74.07407407,40.27777778,35.61643836
Demonte Harper\demonte-harper-1,SR,2010-11,G,Morehead State,OVC,35,33.7,1.3,3.7,5,3.4,1.5,0.3,3.9,2.8,15.5,65.78947368,43.51145038,37.20930233
Iman Shumpert\iman-shumpert-1,JR,2010-11,G,Georgia Tech,ACC,31,32,1.7,4.2,5.9,3.5,2.7,0.2,2.3,2.8,17.3,80.35714286,40.42553191,28.57142857
Brian Mills\brian-mills-1,SR,2010-11,F,Mercer,A-Sun,33,30.6,2.1,3.9,6,1.2,0.9,0.5,2.3,3.2,16.2,71.69811321,45.38461538,28.57142857
Matthew Bryan-Amaning\matthew-bryan-amaning-1,SR,2010-11,F,Washington,Pac-10,35,28.2,3,5,8,0.7,1.1,1.5,1.6,2.9,15.3,62.5,53.98230088,0
Malcolm Grant\malcolm-grant-1,JR,2010-11,G,Miami (FL),ACC,36,32.4,0.3,1.5,1.8,3.2,0.9,0,2.6,1.4,14.8,85,41.9047619,41.93548387
Adnan Hodzic\adnan-hodzic-1,SR,2010-11,C,Lipscomb,A-Sun,30,31.6,2.3,5.2,7.5,1,0.3,0.1,2.2,2.4,17.7,72.72727273,56.55737705,0
Tim Ambrose\tim-ambrose-1,SR,2010-11,G,Albany (NY),AEC,32,33.9,1.3,3.9,5.2,3.6,1.3,0.2,3,2.8,16.6,71.05263158,45.45454545,42.22222222
Kwame Morgan\kwame-morgan-1,JR,2010-11,G,Hampton,MEAC,33,33.3,1.2,3.2,4.5,1.3,1.5,0.1,1.3,1.6,16.1,80.55555556,37.5,36.14457831
Jontae Sherrod\jontae-sherrod-1,SR,2010-11,G,East Carolina,CUSA,34,29.9,0.8,2.8,3.6,1.9,1.1,0.1,2.4,2.8,15.6,78.57142857,42.45283019,38.18181818
La'Shard Anderson\lashard-anderson-1,SR,2010-11,G,Boise State,WAC,35,32.2,0.8,2.4,3.2,4.7,2.2,0.4,3.1,3.2,15.1,78.84615385,43.47826087,29.03225806
Thomas Coleman\thomas-coleman-1,SR,2010-11,F-C,North Carolina A&T,MEAC,31,31.9,3.7,6.7,10.5,1.4,1.2,2.7,2.5,2.5,17,64.0625,62.5,0
