Rk,Player,Class,Season,Pos,School,Conf,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
1007,Justin Ravenel\justin-ravenel-1,SO,2016-17,G,Florida A&M,MEAC,26.1,3.4,7.2,1.5,2.7,2,4.5,1.2,1.3,0.4,1.8,2.2,1.5,0.7,0.1,0.9,1.1,10,92.30769231,47.22222222,44.44444444
1008,Aaric Armstead\aaric-armstead-1,SR,2016-17,G,Northern Illinois,MAC,30.7,3.2,9.2,2.2,6,1,3.2,2.2,3.1,1.8,4.1,5.9,1.7,1.6,0.7,1.6,1.8,9.6,70.96774194,34.7826087,31.25
1009,Johnathan Burroughs-Cook\johnathan-burroughs-cook-1,SR,2016-17,G,Chattanooga,Southern,23.9,3.1,7.2,2.3,4.8,0.8,2.4,2.7,3.8,0.9,1.6,2.5,1.2,1,0.1,1,2,9.6,71.05263158,43.05555556,33.33333333
1010,Maurius Hill\maurius-hill-1,SR,2016-17,F,Arkansas-Little Rock,Sun Belt,28.9,3.5,7.2,3.1,5.8,0.5,1.4,2,3,1.5,3.7,5.2,2.1,1.2,0.3,1.7,2.3,9.6,66.66666667,48.61111111,35.71428571
1011,Braxton Ogbueze\braxton-ogbueze-1,SR,2016-17,G,Charlotte,CUSA,30.9,3.5,9.2,1.3,3.6,2.2,5.5,1.1,1.4,0.6,1.8,2.4,1.1,0.5,0.1,0.8,1.1,10.4,78.57142857,38.04347826,40
1012,Jaren Sina\jaren-sina-1,JR,2016-17,G,George Washington,A-10,32.6,2.8,8.2,0.8,3.2,2,5,2,2.3,0.5,2.5,2.9,3.1,0.8,0,1.5,1,9.6,86.95652174,34.14634146,40
1013,Guilien Smith\guilien-smith-1,SO,2016-17,G,Dartmouth,Ivy,29.5,3.9,9.2,2.7,5.6,1.2,3.6,2.8,3.7,0.3,3.5,3.8,1.8,0.8,0,2.3,2.4,11.9,75.67567568,42.39130435,33.33333333
1014,Kurt Steidl\kurt-steidl-1,SR,2016-17,G,Vermont,AEC,29,2.7,6.4,0.9,1.8,1.8,4.6,1.4,1.7,0.4,3.9,4.3,1.3,1,0.6,0.7,2,8.6,82.35294118,42.1875,39.13043478
1015,Matt Van Scyoc\matt-vanscyoc-1,SR,2016-17,F,Indiana State,MVC,23.9,2.9,6.9,0.6,1.3,2.2,5.6,1.3,2.2,0.4,2.3,2.7,0.6,0.3,0.2,1,2.8,9.2,59.09090909,42.02898551,39.28571429
1016,Nura Zanna\nura-zanna-1,JR,2016-17,F,Long Island University,NEC,24.5,3.7,5.8,3.7,5.8,0,0,1.5,3.4,3.4,5,8.4,0.6,0.7,0.4,2.8,3.6,8.9,44.11764706,63.79310345,0
1017,Andrew Fleming\andrew-fleming-3,FR,2016-17,F,Maine,AEC,28,4,8.3,3.9,7.8,0.1,0.5,2.2,3.4,1.8,4.8,6.5,0.9,0.6,0.7,1.9,2.8,10.3,64.70588235,48.19277108,20
1018,Dominique Matthews\dominique-matthews-1,FR,2016-17,G,Illinois-Chicago,Horizon,19.5,3.3,7.7,1.8,3.7,1.5,4,1.9,2.4,0.6,2.2,2.8,1.1,0.4,0.1,1.3,1.5,9.9,79.16666667,42.85714286,37.5
1019,Emmett Naar\emmett-naar-1,JR,2016-17,G,Saint Mary's (CA),WCC,32.6,3.3,7.4,2.1,4.8,1.2,2.6,2.2,2.4,0.2,2.4,2.6,5.4,0.6,0.1,2.4,0.7,9.9,91.66666667,44.59459459,46.15384615
1020,Tyler Singleton\tyler-singleton-1,SO,2016-17,G,Incarnate Word,Southland,27.2,3.4,7.8,3,6.4,0.4,1.3,2.7,4.5,0.6,2.5,3.1,2.4,0.8,0,2.2,1.6,9.9,60,43.58974359,30.76923077
1021,Ryan Weber\ryan-weber-1,SR,2016-17,G,Ball State,MAC,24.7,3,7,1.2,1.9,1.9,5.1,1.6,1.9,0.7,2.2,2.9,1.6,0.8,0.1,1.7,1.7,9.5,84.21052632,42.85714286,37.25490196
1022,Demario Beck\demario-beck-1,JR,2016-17,F,Coastal Carolina,Sun Belt,26.4,3.7,8.6,2.6,4.7,1,3.8,1.2,2.2,2.5,5.7,8.2,0.8,0.5,0.7,1.2,2.5,9.5,54.54545455,43.02325581,26.31578947
1023,David DiLeo\david-dileo-1,FR,2016-17,F,Central Michigan,MAC,25,2.9,7.3,0.8,1.8,2.2,5.5,1.5,1.8,1.5,3.6,5.1,0.8,0.7,0,0.7,2.1,9.5,83.33333333,39.7260274,40
1024,Demonte Flannigan\demonte-flannigan-1,SR,2016-17,F,Cleveland State,Horizon,24.9,4.8,10,4.8,9.5,0,0.6,1.5,2.3,1.8,3.8,5.6,0.7,0.3,0.8,1.9,3.1,11.2,65.2173913,48,0
1025,Matt Howard\matt-howard-2,SR,2016-17,G,Pennsylvania,Ivy,29.7,4.4,9,3.1,5.3,1.2,3.7,1.8,3,2,4.8,6.9,1.4,1.2,0.3,1.5,2.7,11.8,60,48.88888889,32.43243243
1026,Riley LaChance\riley-lachance-1,JR,2016-17,G,Vanderbilt,SEC,31.6,3.2,6.8,1.2,2.8,2,4,1.5,1.9,0.3,3,3.3,4.1,0.5,0,1.9,2.2,9.9,78.94736842,47.05882353,50
1027,Brandon Randolph\brandon-randolph-1,JR,2016-17,G,Utah Valley,WAC,29,3.6,9.8,3,6.9,0.7,2.9,2.4,3.1,0.7,5,5.8,4.6,1,0.1,3.3,2.1,10.3,77.41935484,36.73469388,24.13793103
1028,Maverick Rowan\maverick-rowan-1,SO,2016-17,G,North Carolina State,ACC,28.3,4.4,10.1,2.1,4.1,2.3,6,1.3,1.5,0.8,2.8,3.6,0.9,0.6,0.2,1.2,1.7,12.4,86.66666667,43.56435644,38.33333333
1029,Andrien White\adrien-white-1,SO,2016-17,G,Charlotte,CUSA,24.3,3.3,8.7,1.3,3.5,2,5.2,2.2,2.8,0.8,3.3,4.1,0.9,1.5,0.4,1.6,2,10.7,78.57142857,37.93103448,38.46153846
1030,Brayon Blake\brayon-blake-1,JR,2016-17,F,Idaho,Big Sky,22.2,4,9,3.4,7,0.6,2,2.1,3.1,2,4.7,6.7,0.8,0.7,0.3,1.2,2.5,10.7,67.74193548,44.44444444,30
1031,Matt Donlan\matt-donlan-1,SR,2016-17,F,Youngstown State,Horizon,26.2,2.9,8.2,0.9,2.7,2,5.6,1.3,1.5,0.7,3.3,4,1.7,0.4,0.1,1.1,2,9.1,86.66666667,35.36585366,35.71428571
1032,Matt Hauser\matt-hauser-1,SO,2016-17,G,Santa Clara,WCC,34.9,3.5,8.4,2.4,5,1.1,3.5,1.7,2.4,0.2,1.8,2,5.1,1,0,1.5,1.6,9.8,70.83333333,41.66666667,31.42857143
1033,Frank Jackson\frank-jackson-2,FR,2016-17,G,Duke,ACC,23.4,3.4,7.3,2.1,3.8,1.3,3.5,1.8,2.2,0.7,1.5,2.2,1.7,0.6,0.1,1.2,2.3,9.8,81.81818182,46.57534247,37.14285714
1034,Bosko Kostur\bosco-kostur-1,JR,2016-17,G,Bryant,NEC,20.1,3,5.9,2,3.6,1,2.3,2.6,3.2,0.9,2.7,3.6,1,0.5,0.1,1,3,9.5,81.25,50.84745763,43.47826087
1035,Rashard Odomes\rashard-odomes-1,SO,2016-17,G,Oklahoma,Big 12,26.3,3.6,7.4,3.6,7.2,0,0.2,2.6,4.1,1.4,2.6,3.9,1.8,0.9,0.1,1.6,2.1,9.8,63.41463415,48.64864865,0
1036,Jeremiah Paige\jeremiah-paige-1,SO,2016-17,G,Colorado State,MWC,31.5,2.9,7.6,1.7,3.9,1.2,3.8,2.1,2.8,0.3,2.2,2.5,2.7,1,0.7,2,2.3,9.1,75,38.15789474,31.57894737
1037,Jared Savage\jared-savag-1,SO,2016-17,G,Austin Peay,OVC,31.2,3.4,8.7,1.5,3.1,2,5.6,1,1.2,1.2,3,4.2,1.1,1.2,0.3,1.3,2.4,9.8,83.33333333,39.08045977,35.71428571
1038,Novak Topalovic\novak-topalovic-1,SO,2016-17,C,Idaho State,Big Sky,28.1,4.3,7.1,4.3,7,0,0,1.6,3.8,1.8,4.5,6.3,1,0.3,1.1,1.8,2.5,10.3,42.10526316,60.56338028,0
1039,Jake Wright\jake-wright-1,SO,2016-17,G,Miami (OH),MAC,26.7,3.2,8.2,0.8,1.7,2.3,6.5,0.8,0.9,0.2,1.4,1.7,0.4,0.3,0,0.7,1.1,9.5,88.88888889,39.02439024,35.38461538
1040,Jo Acuil\jo-acuil-1,JR,2016-17,F,Baylor,Big 12,25.5,3.8,6.7,3.6,6,0.2,0.7,1.5,2.9,2.2,4.7,6.9,0.4,0.3,2.7,1.1,2.1,9.4,51.72413793,56.71641791,28.57142857
1041,Tulio Da Silva\tulio-dasilva-1,FR,2016-17,F,South Florida,AAC,28.5,3.9,8,3.9,7.8,0,0.2,2,3.8,2.4,4.7,7,0.9,0.7,0.4,2.8,2.7,9.8,52.63157895,48.75,0
1042,Bryce Dulin\bryce-dulin-1,JR,2016-17,G,Navy,Patriot,26.7,3.2,6.5,2.1,4.2,1.1,2.4,2,2.9,1.1,3.1,4.2,1.7,0.8,0.3,2,1.6,9.4,68.96551724,49.23076923,45.83333333
1043,Joey McLean\joey-mclean-1,JR,2016-17,G,James Madison,CAA,30.8,3.2,7.7,1.5,3.3,1.7,4.4,1.4,1.9,0.4,2.1,2.5,2.5,1.2,0.1,2,2.8,9.4,73.68421053,41.55844156,38.63636364
1044,Maurice Watson Jr.\mo-watsonjr-1,SR,2016-17,G,Creighton,Big East,29.9,5.1,10.1,4.3,8.4,0.8,1.7,1.9,2.7,0.3,2.3,2.6,8.5,1.5,0,3.7,1.9,12.9,70.37037037,50.4950495,47.05882353
1045,Traylin Farris\traylin-farris-1,JR,2016-17,C,Portland State,Big Sky,23.5,4.4,7,4.3,6.9,0,0.2,2.3,3.9,1.9,3.8,5.7,0.6,0.6,0.8,0.7,3.4,11.1,58.97435897,62.85714286,0
1046,Nick Hornsby\nick-hornsby-1,SR,2016-17,F,Sacramento State,Big Sky,30.3,3.9,8.1,3.3,6.5,0.6,1.6,2.2,3.3,2.2,5.8,8,1.6,1.1,0.6,1.7,3.2,10.6,66.66666667,48.14814815,37.5
1047,Ishmael Lane\ishmael-lane-1,SO,2016-17,F,Northwestern State,Southland,24.7,4,7.7,3.9,7.7,0,0,2.7,4.9,1.7,4.1,5.8,0.8,0.6,0.7,2.2,2.2,10.6,55.10204082,51.94805195,0
1048,Lionheart Leslie\lionheart-leslie-1,SR,2016-17,G,Cal State Fullerton,Big West,25,3.6,7.5,3.2,5.4,0.4,2,3,4,1.2,2.8,4,2.4,1,0,2.1,3.1,10.6,75,48,20
1049,Quentin Snider\quentin-snider-1,JR,2016-17,G,Louisville,ACC,31,4,10.8,2,5.5,2,5.3,2.3,3.2,0.9,1.8,2.7,4.1,0.7,0,1.5,1.5,12.2,71.875,37.03703704,37.73584906
1050,Christian Cunningham\christian-cunningham-2,SO,2016-17,F,Jacksonville State,OVC,26.8,3.6,5.9,3.6,5.9,0,0,1.4,2.4,3.1,5.6,8.6,1,0.7,1.6,1.4,2.9,8.7,58.33333333,61.01694915,0
1051,John Davis\john-davis-5,JR,2016-17,G,Furman,Southern,28.1,3.1,7,1.8,3.8,1.4,3.2,1.3,2,0.3,3,3.3,2.6,1.3,0,1.2,1.7,9,65,44.28571429,43.75
1052,Melvin Frazier\melvin-frazier-1,SO,2016-17,G,Tulane,AAC,28.8,3.4,8.2,2.5,4.8,0.9,3.4,2.5,3.7,1.3,3.1,4.4,1.5,1.7,0.4,2.2,2.5,10.1,67.56756757,41.46341463,26.47058824
1053,Kain Harris\kain-harris-1,SO,2016-17,G,Tulane,AAC,20.3,3.4,8.6,1.8,4.4,1.5,4.2,1.8,2.3,0.4,1.3,1.7,0.3,0.3,0.2,1.4,1.8,10.1,78.26086957,39.53488372,35.71428571
1054,Jeremiah Martin\jeremiah-martin-1,SO,2016-17,G,Memphis,AAC,34.8,3.2,7.2,2.4,4.7,0.8,2.5,2.2,3.5,0.8,2.2,3,4.2,2.1,0.8,1.9,2.5,9.3,62.85714286,44.44444444,32
1055,De'Anthony Melton\deanthony-melton-1,FR,2016-17,G,Southern California,Pac-12,28.2,3,6.9,2.3,4.7,0.7,2.2,2.5,3.5,1.5,3.9,5.4,3.5,1.9,1.2,1.8,2.3,9.3,71.42857143,43.47826087,31.81818182
1056,Marcquise Reed\marcquise-reed-1,SO,2016-17,G,Clemson,ACC,20.6,2.9,6.5,1.9,4.2,1,2.3,3,3.4,0.6,1.8,2.4,1.7,1.4,0,1.3,1.6,9.7,88.23529412,44.61538462,43.47826087
1057,Jackson Rowe\jackson-rowe-1,FR,2016-17,F,Cal State Fullerton,Big West,28.9,3.7,6.5,3.1,5,0.6,1.6,2.5,3.5,2.2,4.3,6.5,1.8,0.4,0.7,2.5,2.4,10.6,71.42857143,56.92307692,37.5
1058,Anthony Tarke\anthony-tarke-1,FR,2016-17,F,NJIT,A-Sun,20.3,3.6,6.8,2.8,4.7,0.7,2.1,1.1,2.2,1.5,2.9,4.3,0.8,1.1,0.4,2.1,2,9,50,52.94117647,33.33333333
1059,Mike Aaman\mike-aaman-2,SR,2016-17,F,Wagner,NEC,22.2,4,8,4,8,0,0,2.5,3.9,2.8,3.3,6.2,0.6,0.6,1.1,1.7,2.4,10.5,64.1025641,50,0
1060,Cole Huff\cole-huff-1,SR,2016-17,F,Creighton,Big East,22.4,3,6.4,1.2,2.5,1.8,3.9,1.5,1.7,0.6,3.3,4,0.7,0.3,0.2,0.5,1.8,9.3,88.23529412,46.875,46.15384615
1061,JoJo McGlaston\jojo-mcglaston-1,JR,2016-17,G,Bradley,MVC,22.3,3,7.1,2,4.2,1.1,2.9,1.5,2.4,1,2.9,3.9,0.8,0.8,0.6,1.6,1.9,8.6,62.5,42.25352113,37.93103448
1062,Malik Morgan\malik-morgan-1,SR,2016-17,G,Tulane,AAC,31.1,3,8.2,2,4.8,1,3.4,2.6,3.4,1.6,3.8,5.5,4.1,1.1,0.6,2.8,3,9.7,76.47058824,36.58536585,29.41176471
1063,Greg Mortimer\greg-mortimer-1,SR,2016-17,G,South Carolina State,MEAC,25.2,3.5,8.1,2.8,5.8,0.7,2.3,1.6,2.2,0.7,1.5,2.2,2,0.7,0.2,1.7,1.4,9.3,72.72727273,43.20987654,30.43478261
1064,Jack Purchase\jack-purchase-1,SO,2016-17,F,Hawaii,Big West,31.1,3.2,7.7,0.7,1.4,2.5,6.3,1.3,1.4,0.8,3.4,4.2,2.3,0.8,0.4,1.5,1.9,10.1,92.85714286,41.55844156,39.68253968
1065,Josh Sharkey\josh-sharkey-1,FR,2016-17,G,Samford,Southern,22.9,2.7,6,2.3,4.6,0.4,1.5,3.3,4.6,0.5,1.3,1.8,4.4,2.1,0.1,2.7,2.8,9,71.73913043,45,26.66666667
1066,Matisse Thybulle\matisse-thybulle-1,SO,2016-17,F,Washington,Pac-12,28.5,3.6,8,2.1,4.2,1.4,3.8,1.1,1.3,0.8,2,2.8,1.6,2.1,0.7,1.8,3,9.7,84.61538462,45,36.84210526
1067,Spencer Weisz\spencer-weisz-1,SR,2016-17,F,Princeton,Ivy,31.8,4,9.8,1.7,3.4,2.4,6.4,1,1.6,0.7,4.9,5.6,3.6,1.4,0.3,1.6,2,11.5,62.5,40.81632653,37.5
1068,Kenrich Williams\kenrich-williams-1,JR,2016-17,G,Texas Christian,Big 12,31.3,3.6,8.2,2.5,4.8,1.1,3.4,1.7,2.9,3.3,6,9.3,2.1,1.3,0.8,1,2.5,10,58.62068966,43.90243902,32.35294118
1069,Adonis Filer\adonis-filer-1,SR,2016-17,G,Florida Atlantic,CUSA,22.9,3.3,9.2,2.3,5.8,1.1,3.4,2.7,3.4,0.7,2.2,3,2.2,1,0,1.7,2,10.4,79.41176471,35.86956522,32.35294118
1070,Davaris McGowens\davaris-mcgowens-1,JR,2016-17,F,North Carolina A&T,MEAC,27,3.6,7.5,3.6,7.5,0,0,2.4,3.7,2.4,4.7,7.1,1,0.8,0.4,1.8,2.8,9.6,64.86486486,48,0
1071,Juwan Parker\juwan-parker-1,JR,2016-17,G,Georgia,SEC,27.1,3.4,8.7,3,6.9,0.3,1.8,2.6,3,1.2,4.2,5.4,1.9,0.6,0.1,1.9,2.4,9.6,86.66666667,39.08045977,16.66666667
1072,Jake Pemberton\jake-pemberton-1,JR,2016-17,G,Denver,Summit,32.4,3,7.1,1.4,2.8,1.5,4.3,1.8,2.1,0.2,2.8,3,4.4,1.4,0.2,2.4,2.5,9.2,85.71428571,42.25352113,34.88372093
1073,Terrence Phillips\terrence-phillips-1,SO,2016-17,G,Missouri,SEC,27.7,2.9,8.4,1.5,4.2,1.4,4.2,2.4,3.2,0.2,3.9,4.1,4.5,1.4,0.1,2.6,3.5,9.6,75,34.52380952,33.33333333
1074,Kevin Scott\kevin-scott-2,JR,2016-17,G,Texas Southern,SWAC,25.4,3.4,7.7,2.6,5.3,0.9,2.4,1.8,2.5,1.6,2.4,4,1.3,1.2,0.2,1.8,2.2,9.6,72,44.15584416,37.5
1075,B.J. Stith\bj-stith-1,SO,2016-17,G,Old Dominion,CUSA,23.9,3.5,9.2,2.8,6.7,0.7,2.5,2.4,3.2,0.7,3.7,4.3,1,0.5,0.2,1.4,1.5,10,75,38.04347826,28
1076,Reggie Jones\reggie-jones-2,FR,2016-17,G,Western Michigan,MAC,22.2,3.6,7.4,2.6,5.1,1,2.4,1.4,1.9,0.3,2.8,3.1,2.2,1.3,0.3,1.9,1.8,9.6,73.68421053,48.64864865,41.66666667
1077,A.J. Mosby\aj-mosby-1,JR,2016-17,G,Alcorn State,SWAC,29.8,3.3,8.3,1.6,3.8,1.8,4.5,1.5,1.9,0.8,4,4.8,2.8,1.4,0.1,1.6,1.7,10,78.94736842,39.75903614,40
1078,James Reid\james-reid-1,SR,2016-17,G,Boise State,MWC,23.8,2.9,7,0.9,1.7,2,5.4,2.1,2.6,0.2,2.3,2.5,1.7,0.6,0.2,1.5,2.7,10,80.76923077,41.42857143,37.03703704
1079,Sean Sellers\sean-sellers-1,JR,2016-17,G,Ball State,MAC,25.5,3,6.7,0.9,1.7,2.2,5,1,1.3,0.3,2.5,2.8,1.3,0.6,0.3,1.2,1.5,9.2,76.92307692,44.7761194,44
1080,Marial Shayok\marial-shayok-1,JR,2016-17,G,Virginia,ACC,21.6,3.8,8.3,3.2,6.5,0.6,1.8,1.4,1.8,0.4,2.4,2.7,1.1,1,0.3,1.2,1.4,9.6,77.77777778,45.78313253,33.33333333
1081,Marvin Smith\marvin-smith-2,JR,2016-17,F,North Carolina-Greensboro,Southern,25.1,3.1,8,1.5,3.2,1.6,4.8,1.5,1.9,1.5,3,4.5,1,1,0.7,1.5,3,9.2,78.94736842,38.75,33.33333333
1082,Joshua Treadwell\joshua-treadwell-1,SR,2016-17,G,Coppin State,MEAC,20.4,2.9,8,1.6,4.2,1.3,3.8,1.8,2.3,0.8,3,3.8,0.6,0.5,0,1.6,2,8.9,78.26086957,36.25,34.21052632
1083,Reggie Agbeko\reggie-agbeko-1,SR,2016-17,F,Saint Louis,A-10,26.3,3.6,6.7,3.6,6.7,0,0,1.9,3.5,2.1,5.2,7.3,0.7,0.4,0.5,2.5,3.3,9.2,54.28571429,53.73134328,0
1084,Kevin Baker\kevin-baker-2,JR,2016-17,G,Troy,Sun Belt,23.4,2.7,7.6,0.5,1.3,2.2,6.3,1.7,2.2,0.4,2.1,2.5,3.1,1.2,0,1.6,2,9.2,77.27272727,35.52631579,34.92063492
1085,Jordan Bohannon\jordan-bohannon-1,FR,2016-17,G,Iowa,Big Ten,28.5,3,8.5,0.8,2.5,2.2,5.9,1.1,1.2,0.3,2.1,2.4,4.5,0.8,0.1,2.1,1.5,9.2,91.66666667,35.29411765,37.28813559
1086,Austin Dassent\austin-dassent-1,JR,2016-17,G,Savannah State,MEAC,21.1,3.4,8.3,1.9,3.7,1.5,4.7,2,3,1,2.9,3.9,2.8,0.9,0,2.5,2.5,10.3,66.66666667,40.96385542,31.91489362
1087,John Dewey III\john-deweyiii-1,SO,2016-17,G,Sam Houston State,Southland,27.6,3.2,7.2,2.5,5.3,0.7,2,2.2,3,0.7,2.5,3.1,5.2,1.4,0,3.2,2.3,9.2,73.33333333,44.44444444,35
1088,Lamontray Harris\lamontray-harris-1,SO,2016-17,F,Morehead State,OVC,19,3.7,7.9,3,6,0.6,1.9,1.5,1.9,1.6,3.7,5.4,1.4,0.3,0.4,2.1,2.8,9.5,78.94736842,46.83544304,31.57894737
1089,Antino Jackson\antino-jackson-1,JR,2016-17,G,Akron,MAC,23.5,3,7.1,1.4,2.9,1.6,4.2,1.8,2.5,0.4,1.8,2.2,2.7,0.7,0,1.6,2,9.5,72,42.25352113,38.0952381
1090,Secean Johnson\secean-johnson-1,SR,2016-17,F,UC-Riverside,Big West,30.7,3.5,9.8,2.7,7.1,0.8,2.6,3.6,5,1.8,4.2,6,1.3,1.3,0.4,2.3,3.1,11.3,72,35.71428571,30.76923077
1091,Kalob Ledoux\kalob-ledoux-1,FR,2016-17,G,McNeese State,Southland,22.5,3.6,8.7,2.1,4.5,1.5,4.2,1.6,2.2,0.5,2.2,2.7,0.9,0.3,0,2.2,1.8,10.3,72.72727273,41.37931034,35.71428571
1092,Rashaun Madison\rashaun-madison-1,SR,2016-17,G,North Carolina Central,MEAC,29.2,3.2,8.9,0.7,1.2,2.6,7.7,0.5,0.8,0.2,1.9,2.1,0.7,1.1,0,0.8,2,9.5,62.5,35.95505618,33.76623377
1093,Solomon Mangham\solomon-mangham-1,SR,2016-17,F,Howard,MEAC,30.7,3.5,10.3,2,5,1.5,5.2,0.7,1.3,1.7,5,6.7,0.9,0.6,0.3,1.1,2.1,9.2,53.84615385,33.98058252,28.84615385
1094,Konstantinos Mitoglou\konstantinos-mitoglou-1,JR,2016-17,F,Wake Forest,ACC,24.7,3,6.9,2.1,4.3,0.9,2.6,2.3,2.8,1.7,4.3,6,1,0.5,0.7,1.7,2.2,9.2,82.14285714,43.47826087,34.61538462
1095,J-Mychal Reese\j-mychal-reese-1,SR,2016-17,G,North Texas,CUSA,27.1,3.4,8.2,2.6,6.2,0.8,2,2.7,3.8,0.3,2.4,2.7,3.3,0.5,0,2.4,2.6,10.3,71.05263158,41.46341463,40
1096,Kadeem Allen\kadeem-allen-1,SR,2016-17,G,Arizona,Pac-12,30.3,3,6.8,2,4.5,1,2.3,2.5,3.4,0.3,3.7,4,3.2,1.5,0.6,2,2.3,9.5,73.52941176,44.11764706,43.47826087
1097,Godwin Boahen\godwin-boahen-1,FR,2016-17,G,Illinois-Chicago,Horizon,26,3.2,6.8,1.5,3.2,1.6,3.7,1.9,2.6,0.8,3,3.9,3.3,1,0.1,2.5,2.9,9.9,73.07692308,47.05882353,43.24324324
1098,Bryce Canda\bryce-canda-1,JR,2016-17,G,Portland State,Big Sky,30.6,3.6,8.2,1.8,3,1.8,5.1,1.3,1.7,0.8,3.4,4.2,2.2,1.2,0.1,1.3,1,10.3,76.47058824,43.90243902,35.29411765
1099,Devonte Hall\devonte-hall-1,JR,2016-17,G,Northwestern State,Southland,27.7,3,7.2,2.6,5.6,0.4,1.6,3.9,5,0.4,2.3,2.7,5,1.4,0.1,2.6,3.1,10.3,78,41.66666667,25
1100,De'Antae McMurray\deantae-mcmurray-1,JR,2016-17,G,Drake,MVC,25.3,2.9,8.3,1.2,3.6,1.7,4.7,1.3,1.5,0,2.2,2.2,2.7,1.1,0,1.6,1.8,8.8,86.66666667,34.93975904,36.17021277
1101,Cordell Pemsl\cordell-pemsl-1,FR,2016-17,F,Iowa,Big Ten,19.3,3.5,5.6,3.5,5.6,0,0,2.2,3.9,1.8,3.3,5,1,0.6,0.8,1.5,2.3,9.1,56.41025641,62.5,0
1102,Tanner Rubio\tanner-rubio-1,FR,2016-17,G,Jacksonville,A-Sun,19.3,3.2,6.6,0.7,1.5,2.5,5,1.1,1.4,0.3,1.3,1.6,2.3,0.9,0,2.3,1.3,9.9,78.57142857,48.48484848,50
1103,Philip Whittington\philip-whittington-1,SO,2016-17,F,South Carolina Upstate,A-Sun,17.7,3.5,7.4,3.5,7,0,0.3,1.4,2.2,2.2,4,6.2,0.6,0.5,1.3,1.5,2.6,8.5,63.63636364,47.2972973,0
1104,Shaqquan Aaron\shaqquan-aaron-1,SO,2016-17,G,Southern California,Pac-12,22.2,3,7.7,1.7,4,1.3,3.7,1.8,2.3,1.1,2.7,3.8,1.2,0.4,0.2,1.1,1.3,9.1,78.26086957,38.96103896,35.13513514
1105,DaQuan Bracey\daquan-bracey-1,FR,2016-17,G,Louisiana Tech,CUSA,27.8,3.5,7.8,2.8,5.6,0.7,2.2,1.5,2.2,0.6,2,2.7,5.6,0.7,0,1.5,2,9.1,68.18181818,44.87179487,31.81818182
1106,Nick Coppola\nick-coppola-1,SR,2016-17,G,Louisiana-Monroe,Sun Belt,37.2,3.1,8.2,1.6,3.8,1.5,4.3,1.5,2.2,0.2,2.8,3,4.4,0.5,0,1.5,1.8,9.1,68.18181818,37.80487805,34.88372093
1107,Samir Doughty\samir-doughty-1,FR,2016-17,G,Virginia Commonwealth,A-10,24.1,3,7.4,2.4,5,0.6,2.4,2.4,3.2,0.9,3.1,4,2.5,0.8,0,2,2.2,9.1,75,40.54054054,25
1108,Tanksley Efianayi\tanksley-efianayi-1,SR,2016-17,G,Central Florida,AAC,28.8,3,8,2.2,5.1,0.8,2.9,2.5,3.5,1,3.2,4.3,1.5,0.4,0.2,2.1,1.8,9.4,71.42857143,37.5,27.5862069
1109,Kuran Iverson\kuran-iverson-1,SR,2016-17,F,Rhode Island,A-10,24.2,3.6,7.5,3,5.4,0.6,2.2,1.7,3,2.6,5,7.5,1.7,0.7,1.2,1.8,2.8,9.4,56.66666667,48,27.27272727
1110,Frankie Johnson\frankie-johnson-1,FR,2016-17,G,Citadel,Southern,25.1,2.7,6.9,1.7,3.6,1,3.3,2.4,3.3,1.3,1.3,2.6,3.5,1.4,0.1,2,2.9,8.7,72.72727273,39.13043478,30.3030303
1111,Pookie Powell\rashawn-powell-1,SO,2016-17,G,La Salle,A-10,30.3,4.2,9.7,2.8,5.6,1.4,4.1,3.2,3.7,0.4,3.8,4.2,3.5,1.2,0.1,1.3,1.9,13.1,86.48648649,43.29896907,34.14634146
1112,Jordan Poydras\jordan-poydras-1,SR,2016-17,G,Utah Valley,WAC,21.5,3,8.4,1.1,2.9,1.9,5.5,2,2.5,0.3,2,2.3,1.8,0.7,0,1.2,1.7,9.8,80,35.71428571,34.54545455
1113,Conor Clifford\conor-clifford-1,SR,2016-17,C,Washington State,Pac-12,19.7,3.9,6.6,3.9,6.6,0,0,1.6,1.8,0.5,2.5,3,1,0,0.7,1.5,2.6,9.4,88.88888889,59.09090909,0
1114,Cam Gregory\cam-gregory-1,JR,2016-17,F,Loyola (MD),Patriot,24.8,3.7,5.8,3.6,5.7,0,0.1,1.7,3.5,2.8,4,6.8,1.1,0.8,0.8,1.2,2.7,9,48.57142857,63.79310345,0
1115,Terance Mann\terance-mann-1,SO,2016-17,G,Florida State,ACC,25.3,3.5,5.9,3.3,5.3,0.2,0.6,1.9,2.9,1.6,3,4.7,2,1,0.2,1.2,2.3,9,65.51724138,59.3220339,33.33333333
1116,Hanner Mosquera-Perea\hanner-mosquera-perea-1,SR,2016-17,F,East Tennessee State,Southern,20.9,3.2,5.1,3.2,5.1,0,0,2.3,4.3,1.7,3.1,4.8,0.7,0.6,1.4,1.3,2.5,8.7,53.48837209,62.74509804,0
