Rk,Player,Class,Season,Pos,School,Conf,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
111,Jeffrey Carroll\jeffrey-carroll-2,JR,2016-17,G,Oklahoma State,Big 12,28.2,6,10.9,4.4,7.4,1.6,3.5,4,5,2.1,4.5,6.7,1.3,0.9,0.2,1.7,1.7,17.5,80,55.04587156,45.71428571
112,Tanner Leissner\tanner-leissner-1,JR,2016-17,F,New Hampshire,AEC,33.9,5.5,11.9,4.9,9.6,0.7,2.3,5.1,6,2.5,4.8,7.3,1.7,0.4,0.3,1.8,2.7,16.8,85,46.21848739,30.43478261
113,Dwayne Bacon\dwayne-bacon-1,SO,2016-17,G,Florida State,ACC,28.4,6.3,14,4.5,9,1.8,5,2.9,4,1,2.9,3.9,1.7,1,0.2,1.9,1.5,17.4,72.5,45,36
114,Antonio Green\antonio-green-2,SO,2016-17,G,Texas-Rio Grande Valley,WAC,30.7,5.5,14.1,1.7,4.4,3.7,9.7,2.1,2.7,0.6,2.8,3.4,1.8,0.6,0.1,2.9,1.2,16.8,77.77777778,39.0070922,38.1443299
115,Rodney Bullock\rodney-bullock-1,JR,2016-17,F,Providence,Big East,33.7,5.7,13,4.2,8.4,1.5,4.6,3.9,5.1,1.3,4.9,6.1,1.4,1.3,0.9,2.5,2.1,16.7,76.47058824,43.84615385,32.60869565
116,C.J. Bryce\cj-bryce-1,SO,2016-17,G,North Carolina-Wilmington,CAA,33.7,6.4,13.3,5.3,9.4,1.1,3.8,2.9,4,2,3.5,5.4,3.1,1,0.3,1.9,2.3,16.7,72.5,48.12030075,28.94736842
117,Joe Chealey\joe-chealey-1,JR,2016-17,G,College of Charleston,CAA,33.7,4.7,11.3,2.9,6.7,1.8,4.6,5.6,6.6,0.4,2.7,3.1,3.1,1,0,1.7,2.3,16.7,84.84848485,41.59292035,39.13043478
118,Zach Lofton\zach-lofton-1,JR,2016-17,G,Texas Southern,SWAC,32.8,5.4,12.8,4.3,8.7,1.2,4.2,6,7.6,0.9,3,3.8,1.9,1.3,0.4,2.4,2.6,18,78.94736842,42.1875,28.57142857
119,Justin Wright-Foreman\justin-wright-foreman-1,SO,2016-17,G,Hofstra,CAA,26.4,6.1,12.1,4.3,7.2,1.8,4.9,2.6,3.7,0.7,2.8,3.4,1.5,0.7,0,1.4,1.8,16.7,70.27027027,50.41322314,36.73469388
120,Tra Holder\tra-holder-1,JR,2016-17,G,Arizona State,Pac-12,34.8,5.5,12.2,4.1,8.2,1.5,3.9,4.8,6.1,1.3,2.4,3.7,3.2,1,0,1.9,2,17.3,78.68852459,45.08196721,38.46153846
